Department,JobRole,AgeGroup,SalaryGroup,BusinessTravel,OverTime,PredictedAttrition,Probability_of_Leaving,ReplacementCost,FinancialRisk,RiskCategory,EmployeeID,EmployeeName
Research & Development,Research Scientist,26-35,Low,Travel Rarely,Yes,0,0.365,402300.0,146750.11,High,889,Wyatt Sunder
Sales,Sales Executive,26-35,Medium,Travel Rarely,No,0,0.052,860220.0,45150.19,Medium,1013,Rachita Chand
Research & Development,Research Scientist,26-35,High,Travel Rarely,No,0,0.036,1058040.0,38420.88,Medium,1101,Wridesh Verma
Sales,Sales Executive,26-35,Very High,Non-Travel,Yes,0,0.09,1867860.0,168092.16,High,888,Peter Varghese
Research & Development,Research Scientist,26-35,Medium,Travel Rarely,No,0,0.056,621360.0,34496.47,Medium,712,Jeremiah Merchant
Research & Development,Laboratory Technician,36-45,High,Travel Frequently,No,1,0.679,916920.0,622377.07,High,601,George Golla
Sales,Sales Executive,26-35,Medium,Travel Rarely,No,0,0.171,761940.0,129911.44,Medium,482,Chakrika Subramanian
Research & Development,Manager,36-45,Very High,Travel Frequently,No,0,0.064,3250980.0,206493.08,High,936,Harsh Shankar
Sales,Sales Executive,26-35,Very High,Travel Rarely,No,0,0.139,1779840.0,246627.97,High,1384,Nicholas Som
Research & Development,Laboratory Technician,36-45,Medium,Travel Rarely,No,1,0.559,768960.0,430151.75,High,824,Rachana Mammen
Research & Development,Laboratory Technician,36-45,Medium,Travel Rarely,No,0,0.006,552420.0,3231.5,Low,1155,Ranbir Sule
Research & Development,Healthcare Representative,46-60,High,Non-Travel,No,0,0.0,1135080.0,239.81,Low,1441,Vasudha Bala
Research & Development,Laboratory Technician,18-25,Medium,Travel Rarely,Yes,0,0.169,664380.0,112425.88,Medium,796,Ekiya Nayak
Research & Development,Manufacturing Director,46-60,Very High,Travel Rarely,Yes,0,0.06,2470680.0,147128.92,High,743,Pavani Luthra
Research & Development,Manager,36-45,Very High,Travel Rarely,Yes,0,0.01,3512340.0,34990.32,Medium,497,Nihal Vohra
Research & Development,Laboratory Technician,26-35,Low,Travel Rarely,No,0,0.099,487260.0,48385.23,Medium,236,Priya Nagy
Human Resources,Human Resources,26-35,Medium,Travel Frequently,No,0,0.028,808200.0,23003.93,Low,923,Yoshita Raju
Sales,Sales Executive,26-35,High,Travel Rarely,No,1,0.674,958680.0,645921.94,High,573,Brinda More
Research & Development,Manager,36-45,Very High,Travel Rarely,No,0,0.007,3454200.0,24494.65,Low,922,Gopal Palan
Research & Development,Manufacturing Director,36-45,Very High,Travel Rarely,No,0,0.008,1698120.0,13620.39,Low,506,Rayaan Bajaj
Research & Development,Manufacturing Director,46-60,Medium,Travel Rarely,Yes,0,0.38,799200.0,303943.43,High,1406,Lajita Loyal
Research & Development,Research Scientist,26-35,Low,Travel Rarely,No,0,0.009,498240.0,4565.8,Low,432,Harish Singhal
Research & Development,Laboratory Technician,36-45,High,Travel Frequently,Yes,1,0.69,1001160.0,690478.92,High,1128,David Deshpande
Research & Development,Healthcare Representative,36-45,Medium,Non-Travel,No,0,0.009,877680.0,7559.88,Low,208,Suhani Sangha
Sales,Sales Executive,46-60,High,Travel Frequently,No,0,0.016,970200.0,15907.87,Low,1468,Rayaan Naidu
Research & Development,Laboratory Technician,36-45,High,Non-Travel,No,0,0.272,1220760.0,332584.39,High,816,Manan Sankaran
Human Resources,Manager,36-45,Very High,Travel Rarely,No,0,0.11,3445380.0,379288.27,High,535,Niharika Yohannan
Sales,Manager,46-60,Very High,Non-Travel,Yes,1,0.507,3432240.0,1741702.71,High,237,Eesha Shankar
Research & Development,Laboratory Technician,26-35,High,Travel Rarely,No,0,0.006,1064700.0,6410.28,Low,58,Ekiya Sengupta
Research & Development,Manufacturing Director,36-45,High,Travel Rarely,Yes,0,0.121,1172880.0,141771.18,High,1229,Libni Dhar
Research & Development,Research Scientist,26-35,High,Travel Rarely,No,0,0.002,1039500.0,1871.2,Low,324,Chasmum Dasgupta
Research & Development,Research Scientist,26-35,Low,Travel Rarely,No,0,0.132,396180.0,52379.76,Medium,371,Nirja Lad
Research & Development,Research Scientist,46-60,Low,Travel Rarely,No,0,0.097,446220.0,43091.04,Medium,700,Bishakha Narang
Research & Development,Research Scientist,36-45,Medium,Travel Frequently,Yes,1,0.505,651060.0,328508.12,High,691,Yashasvi Lata
Research & Development,Research Director,36-45,Very High,Travel Rarely,No,0,0.001,3168540.0,3558.41,Low,1185,Anusha Palla
Sales,Sales Executive,36-45,High,Travel Rarely,No,0,0.062,1140120.0,70210.92,Medium,628,Eshana Vora
Research & Development,Research Scientist,26-35,Medium,Travel Rarely,Yes,0,0.048,644220.0,31156.63,Medium,886,Patrick Rama
Research & Development,Research Scientist,26-35,Low,Non-Travel,No,0,0.026,229320.0,5959.46,Low,1052,Anjali Mukherjee
Research & Development,Healthcare Representative,26-35,High,Travel Frequently,No,0,0.159,911340.0,145072.54,High,1131,Arin Parsa
Sales,Sales Executive,26-35,Very High,Travel Frequently,No,0,0.136,1799640.0,243870.96,High,990,Ishani Goswami
Research & Development,Laboratory Technician,46-60,High,Travel Rarely,No,0,0.086,1332540.0,113983.09,Medium,677,Aryan Talwar
Sales,Manager,46-60,Very High,Travel Rarely,No,0,0.001,3513060.0,3089.98,Low,233,Ikshita Raj
Sales,Sales Executive,26-35,Very High,Non-Travel,No,0,0.014,1514160.0,21312.28,Low,423,Chakrika Sawhney
Research & Development,Laboratory Technician,26-35,Medium,Travel Frequently,No,0,0.396,796500.0,315785.4,High,196,Aadi Sandal
Sales,Sales Executive,46-60,High,Non-Travel,No,0,0.085,896040.0,76282.09,Medium,1234,Jagdish D’Alia
Research & Development,Research Scientist,26-35,Low,Travel Rarely,No,0,0.066,514620.0,33984.02,Medium,81,Dipta Ramachandran
Research & Development,Research Director,46-60,Very High,Travel Frequently,No,0,0.001,3448980.0,3893.65,Low,1377,Mitali Nanda
Research & Development,Laboratory Technician,36-45,Medium,Travel Rarely,No,0,0.199,877680.0,174621.46,High,1133,Gagan Das
Research & Development,Laboratory Technician,26-35,High,Travel Frequently,Yes,1,0.81,1093320.0,885568.92,High,111,Hema Bir
Sales,Sales Executive,26-35,High,Travel Rarely,No,0,0.041,1285200.0,52729.35,Medium,1251,Lakshmi Oommen
Sales,Sales Executive,26-35,High,Travel Rarely,No,0,0.063,985680.0,61774.36,Medium,1191,Guneet Wali
Human Resources,Human Resources,46-60,Medium,Travel Rarely,No,0,0.064,616140.0,39154.67,Medium,943,Jai Bansal
Research & Development,Manufacturing Director,36-45,Medium,Travel Rarely,No,0,0.024,857700.0,20988.4,Low,661,Yash Divan
Research & Development,Laboratory Technician,36-45,High,Non-Travel,Yes,0,0.021,1164960.0,24303.72,Low,1240,Deepa Reddy
Sales,Sales Executive,36-45,Very High,Travel Rarely,No,0,0.057,1663380.0,94561.99,Medium,1218,Zayyan Narang
Research & Development,Research Scientist,46-60,Medium,Non-Travel,No,0,0.004,766440.0,2884.91,Low,570,Rayaan Vasa
Sales,Sales Executive,26-35,Medium,Non-Travel,Yes,0,0.439,852480.0,374386.83,High,354,Elijah Vohra
Research & Development,Research Scientist,46-60,Low,Travel Rarely,No,0,0.191,426060.0,81217.56,Medium,1114,Ekani Aurora
Research & Development,Healthcare Representative,26-35,Very High,Travel Rarely,No,0,0.009,1748700.0,16128.6,Low,1090,Azad Hans
Research & Development,Healthcare Representative,46-60,Very High,Travel Rarely,Yes,0,0.189,2513520.0,475668.53,High,316,Meera Dey
Research & Development,Research Scientist,26-35,Medium,Travel Rarely,No,0,0.011,535860.0,5883.79,Low,1458,Manan Soni
Sales,Sales Executive,26-35,Medium,Travel Frequently,No,0,0.192,881640.0,169571.01,High,1070,Christopher Vyas
Research & Development,Laboratory Technician,26-35,Low,Non-Travel,No,0,0.058,419760.0,24140.61,Low,682,Zinal Choudhury
Research & Development,Manufacturing Director,26-35,Medium,Travel Rarely,No,0,0.006,775080.0,4603.43,Low,394,Zinal Sehgal
Sales,Sales Executive,26-35,High,Travel Rarely,No,0,0.014,1129320.0,15494.06,Low,567,Krisha Mukhopadhyay
Research & Development,Manufacturing Director,26-35,High,Travel Rarely,No,0,0.024,921780.0,22120.49,Low,560,Sai Dhingra
Research & Development,Research Director,46-60,Very High,Travel Rarely,Yes,0,0.028,3038400.0,83898.16,Medium,945,Xalak Dugal
Research & Development,Research Scientist,36-45,Medium,Travel Rarely,No,0,0.042,842400.0,34983.06,Medium,522,Neel Bandi
Sales,Sales Executive,46-60,Medium,Travel Rarely,Yes,0,0.067,816660.0,54678.94,Medium,651,Indali Desai
